indicator,date,city,region,cases
Recoveries,2020-07-03,Al ʻAqiq,Al Bahah,1
Recoveries,2020-07-03,Al QuwayʻIyyah,Ar Riyad,1
Recoveries,2020-07-03,An NuʻAyriyyah,Eastern Region,1
Recoveries,2020-07-03,Ad DirʻIyyah,Ar Riyad,3
Recoveries,2020-07-03,Wadi Ad Dawasir,Ar Riyad,22
Recoveries,2020-07-03,Umm Ad Dawm,Makkah Al Mukarramah,3
Recoveries,2020-07-03,Ras Tannurah,Eastern Region,3
Recoveries,2020-07-03,Al Jafr,Eastern Region,4
Recoveries,2020-07-04,Rafa'I' Al Jamsh,Ar Riyad,2
Recoveries,2020-07-04,Ar Ruwaydah,Ar Riyad,3
Recoveries,2020-07-04,Hawtat Sudayr,Ar Riyad,1
Recoveries,2020-07-04,Makkah Al Mukarramah,Makkah Al Mukarramah,231
Recoveries,2020-07-04,Khamis Mushayt,Aseer,98
Recoveries,2020-07-04,Al MajmaʻAh,Ar Riyad,2
Recoveries,2020-07-04,Jeddah,Makkah Al Mukarramah,281
Recoveries,2020-07-04,Ad͟H D͟Hahran,Eastern Region,18
Recoveries,2020-07-04,Al Artawiyyah,Ar Riyad,1
Recoveries,2020-07-04,Al Qunfudhah,Makkah Al Mukarramah,1
Recoveries,2020-07-04,Al Lith,Makkah Al Mukarramah,2
Recoveries,2020-07-04,Al Khafji,Eastern Region,2
Recoveries,2020-07-04,Wadi Al Fara,Al Madinah Al Munawwarah,1
Recoveries,2020-07-04,Rijal Al Ma,Aseer,2
Recoveries,2020-07-04,Qaryat Al 'Ulya,Eastern Region,11
Recoveries,2020-07-04,Al Sehen,Makkah Al Mukarramah,1
Recoveries,2020-07-05,At Tuwal,Jazan,1
Recoveries,2020-07-05,Rafa'I' Al Jamsh,Ar Riyad,3
Recoveries,2020-07-05,Al Harajah,Aseer,2
Recoveries,2020-07-05,An Nabhaniyyah,Al Qaseem,1
Recoveries,2020-07-05,Buraydah,Al Qaseem,14
Recoveries,2020-07-05,At TaʼIf,Makkah Al Mukarramah,377
Recoveries,2020-07-05,Abha,Aseer,41
Recoveries,2020-07-05,Ad Dilam,Ar Riyad,6
Recoveries,2020-07-05,Bishah,Aseer,4
Recoveries,2020-07-05,Ad Duwadimi,Ar Riyad,1
Recoveries,2020-07-05,Yanbuʻ,Al Madinah Al Munawwarah,9
Recoveries,2020-07-05,Ar Rass,Al Qaseem,1
Recoveries,2020-07-05,Qiya,Makkah Al Mukarramah,7
Recoveries,2020-07-05,Al BadaʼIʻ,Al Qaseem,2
Recoveries,2020-07-05,Duruma,Ar Riyad,6
Recoveries,2020-07-05,D͟Halm,Makkah Al Mukarramah,4
Recoveries,2020-07-05,Sharurah,Najran,13
Recoveries,2020-07-05,D͟Hahran Al Janub,Aseer,11
Recoveries,2020-07-05,Sabya,Jazan,36
Recoveries,2020-07-05,Baysh,Jazan,32
Recoveries,2020-07-05,An Namas,Aseer,6
Recoveries,2020-07-05,Biljurashi,Al Bahah,1
Recoveries,2020-07-05,Turuba,Makkah Al Mukarramah,6
Recoveries,2020-07-05,Al Muzahimiyyah,Ar Riyad,20
Recoveries,2020-07-05,Al Midhnab,Al Qaseem,6
Recoveries,2020-07-05,An NuʻAyriyyah,Eastern Region,4
Recoveries,2020-07-05,Al Kharj,Ar Riyad,65
Recoveries,2020-07-05,Rijal Al Ma,Aseer,1
Recoveries,2020-07-05,Qaryat Al 'Ulya,Eastern Region,3
Recoveries,2020-07-05,Thurayban,Makkah Al Mukarramah,1
Recoveries,2020-07-05,Al Jafr,Eastern Region,9
Recoveries,2020-07-06,Al Asyah,Al Qaseem,1
Recoveries,2020-07-06,Bathaʼ,Eastern Region,4
Recoveries,2020-07-06,Bariq,Aseer,3
Recoveries,2020-07-06,Ash Shinan,Hail,1
Recoveries,2020-07-06,Ahad Rifaydah,Aseer,4
Recoveries,2020-07-06,Al ʻAridah,Jazan,3
Recoveries,2020-07-06,Tabuk,Tabuk,37
Recoveries,2020-07-06,Al Madinah Al Munawwarah,Al Madinah Al Munawwarah,132
Recoveries,2020-07-06,Najran,Najran,51
Recoveries,2020-07-06,Al Khubar,Eastern Region,182
Recoveries,2020-07-06,Yanbuʻ,Al Madinah Al Munawwarah,15
Recoveries,2020-07-06,Ar Rass,Al Qaseem,8
Recoveries,2020-07-06,Al Khurmah,Makkah Al Mukarramah,3
Recoveries,2020-07-06,Dariyyah,Al Qaseem,1
Recoveries,2020-07-06,Yadamah,Najran,1
Recoveries,2020-07-06,Al Gouz,Makkah Al Mukarramah,1
Recoveries,2020-07-06,Al Hinakiyyah,Al Madinah Al Munawwarah,1
Recoveries,2020-07-06,Al Majardah,Aseer,3
Recoveries,2020-07-06,Al ʻUla,Al Madinah Al Munawwarah,2
Recoveries,2020-07-06,Al QuwayʻIyyah,Ar Riyad,1
Recoveries,2020-07-06,Al Midhnab,Al Qaseem,5
Recoveries,2020-07-06,Al Khafji,Eastern Region,12
Recoveries,2020-07-06,Salwá,Eastern Region,5
Recoveries,2020-07-06,Al Sehen,Makkah Al Mukarramah,2
Recoveries,2020-07-06,Al Mubarraz,Eastern Region,156
Recoveries,2020-07-07,Al Asyah,Al Qaseem,1
Recoveries,2020-07-07,Al Quwarah,Al Qaseem,2
Recoveries,2020-07-07,Ahad Rifaydah,Aseer,1
Recoveries,2020-07-07,Khamis Mushayt,Aseer,27
Recoveries,2020-07-07,Al Khubar,Eastern Region,183
Recoveries,2020-07-07,Jeddah,Makkah Al Mukarramah,220
Recoveries,2020-07-07,Ar Riyad,Ar Riyad,398
Recoveries,2020-07-07,Ar Rass,Al Qaseem,5
Recoveries,2020-07-07,Ad͟H D͟Hahran,Eastern Region,58
Recoveries,2020-07-07,Al Khurmah,Makkah Al Mukarramah,5
Recoveries,2020-07-07,Al Kamil,Makkah Al Mukarramah,1
Recoveries,2020-07-07,Al Badʻ,Tabuk,1
Recoveries,2020-07-07,Riyad Al Khabraʼ,Al Qaseem,1
Recoveries,2020-07-07,Al ʻUyun,Eastern Region,3
Recoveries,2020-07-07,Huraymilaʼ,Ar Riyad,13
Recoveries,2020-07-07,Sabya,Jazan,2
Recoveries,2020-07-07,Tathlith,Aseer,3
Recoveries,2020-07-07,An Namas,Aseer,1
Recoveries,2020-07-07,Al ʻUla,Al Madinah Al Munawwarah,1
Recoveries,2020-07-07,Haql,Tabuk,1
Recoveries,2020-07-07,Hafar Al Batin,Eastern Region,20
Recoveries,2020-07-07,Al Muzahimiyyah,Ar Riyad,3
Recoveries,2020-07-07,Salwá,Eastern Region,2
Recoveries,2020-07-07,Qaryat Al 'Ulya,Eastern Region,12
Recoveries,2020-07-07,Thurayban,Makkah Al Mukarramah,2
Recoveries,2020-07-07,Al Sehen,Makkah Al Mukarramah,5
Recoveries,2020-07-08,Bathaʼ,Eastern Region,1
Recoveries,2020-07-08,Khulays,Makkah Al Mukarramah,2
Recoveries,2020-07-08,Mayquʻ,Al Jawf,1
Recoveries,2020-07-08,An Nabhaniyyah,Al Qaseem,6
Recoveries,2020-07-08,Al Madinah Al Munawwarah,Al Madinah Al Munawwarah,122
Recoveries,2020-07-08,Yanbuʻ,Al Madinah Al Munawwarah,10
Recoveries,2020-07-08,Sarat ʻAbidah,Aseer,5
Recoveries,2020-07-08,Mulayjah,Eastern Region,4
Recoveries,2020-07-08,Ad͟H D͟Hahran,Eastern Region,63
Recoveries,2020-07-08,Al Qurayyat,Al Jawf,2
Recoveries,2020-07-08,Al ʻUwayqilah,Northern Borders,2
Recoveries,2020-07-08,Al Majardah,Aseer,1
Recoveries,2020-07-08,Haql,Tabuk,1
Recoveries,2020-07-08,Hafar Al Batin,Eastern Region,79
Recoveries,2020-07-08,As Sulayyil,Ar Riyad,4
Recoveries,2020-07-08,Al Midhnab,Al Qaseem,16
Recoveries,2020-07-08,Al Khafji,Eastern Region,7
Recoveries,2020-07-08,Marat,Ar Riyad,3
Recoveries,2020-07-08,Salwá,Eastern Region,1
Recoveries,2020-07-08,Sajir,Ar Riyad,24
Recoveries,2020-07-08,Umm Ad Dawm,Makkah Al Mukarramah,4
Recoveries,2020-07-08,Al Sehen,Makkah Al Mukarramah,1
Recoveries,2020-07-08,Al Jafr,Eastern Region,6
Recoveries,2020-07-09,ʻArʻAr,Northern Borders,1
Recoveries,2020-07-09,Makkah Al Mukarramah,Makkah Al Mukarramah,122
Recoveries,2020-07-09,ʻAfif,Ar Riyad,2
Recoveries,2020-07-09,Ar Riyad,Ar Riyad,259
Recoveries,2020-07-09,Hubuna,Najran,2
Recoveries,2020-07-09,Wadi Ibn Hashbal,Aseer,2
Recoveries,2020-07-09,ʻUnayzah,Al Qaseem,59
Recoveries,2020-07-09,Al Qatif,Eastern Region,71
Recoveries,2020-07-09,Ad͟H D͟Hahran,Eastern Region,26
Recoveries,2020-07-09,ʻUyun Al Jiwaʼ,Al Qaseem,3
Recoveries,2020-07-09,Huraymilaʼ,Ar Riyad,15
Recoveries,2020-07-09,Baysh,Jazan,1
Recoveries,2020-07-09,Tabarjal,Al Jawf,1
Recoveries,2020-07-09,Hafar Al Batin,Eastern Region,25
Recoveries,2020-07-09,An NuʻAyriyyah,Eastern Region,3
Recoveries,2020-07-09,Al Mud͟Haylif,Makkah Al Mukarramah,3
Recoveries,2020-07-10,Thar,Najran,1
Recoveries,2020-07-10,Ar Ruwaydah,Ar Riyad,1
Recoveries,2020-07-10,Al Madinah Al Munawwarah,Al Madinah Al Munawwarah,241
Recoveries,2020-07-10,Abha,Aseer,62
Recoveries,2020-07-10,Najran,Najran,59
Recoveries,2020-07-10,Ad Dammam,Eastern Region,161
Recoveries,2020-07-10,Wadi Ibn Hashbal,Aseer,2
Recoveries,2020-07-10,Abu ʻArish,Jazan,1
Recoveries,2020-07-10,Az Zulfi,Ar Riyad,3
Recoveries,2020-07-10,Ar Rass,Al Qaseem,1
Recoveries,2020-07-10,Al Kamil,Makkah Al Mukarramah,1
Recoveries,2020-07-10,Safwá,Eastern Region,45
Recoveries,2020-07-10,Al ʻUyun,Eastern Region,7
Recoveries,2020-07-10,Al Muwayh,Makkah Al Mukarramah,3
Recoveries,2020-07-10,Huraymilaʼ,Ar Riyad,11
Recoveries,2020-07-10,Al ʻUla,Al Madinah Al Munawwarah,2
Recoveries,2020-07-10,Al QuwayʻIyyah,Ar Riyad,3
Recoveries,2020-07-10,Al Muzahimiyyah,Ar Riyad,6
Recoveries,2020-07-10,Ad DirʻIyyah,Ar Riyad,6
Recoveries,2020-07-10,Al Kharj,Ar Riyad,28
Recoveries,2020-07-10,Rijal Al Ma,Aseer,24
Recoveries,2020-07-10,Wuthaylan,Ar Riyad,10
Recoveries,2020-07-10,Sajir,Ar Riyad,18
Recoveries,2020-07-10,Thurayban,Makkah Al Mukarramah,6
Recoveries,2020-07-10,Billasmar,Aseer,2
Recoveries,2020-07-11,Al Maddah,Aseer,5
Recoveries,2020-07-11,Tabuk,Tabuk,29
Recoveries,2020-07-11,Abha,Aseer,7
Recoveries,2020-07-11,Hubuna,Najran,2
Recoveries,2020-07-11,Bishah,Aseer,2
Recoveries,2020-07-11,Al Mandaq,Al Bahah,12
Recoveries,2020-07-11,Qiya,Makkah Al Mukarramah,1
Recoveries,2020-07-11,Al ʻUyun,Eastern Region,29
Recoveries,2020-07-11,Duruma,Ar Riyad,7
Recoveries,2020-07-11,Al Muwayh,Makkah Al Mukarramah,1
Recoveries,2020-07-11,D͟Halm,Makkah Al Mukarramah,1
Recoveries,2020-07-11,Huraymilaʼ,Ar Riyad,9
Recoveries,2020-07-11,Hawtat Bani Tamim,Ar Riyad,5
Recoveries,2020-07-11,Sharurah,Najran,29
Recoveries,2020-07-11,Biljurashi,Al Bahah,4
Recoveries,2020-07-11,Al Wajh,Tabuk,3
Recoveries,2020-07-11,Laylá,Ar Riyad,1
Recoveries,2020-07-11,Rumah,Ar Riyad,2
Recoveries,2020-07-11,Al Mud͟Haylif,Makkah Al Mukarramah,2
Recoveries,2020-07-11,Wadi Ad Dawasir,Ar Riyad,13
Recoveries,2020-07-11,Al Farshah,Aseer,2
Recoveries,2020-07-12,Bathaʼ,Eastern Region,7
Recoveries,2020-07-12,Ar Rayn,Ar Riyad,1
Recoveries,2020-07-12,Ar Ruwaydah,Ar Riyad,5
Recoveries,2020-07-12,Ad Darb,Jazan,1
Recoveries,2020-07-12,Buraydah,Al Qaseem,105
Recoveries,2020-07-12,Ad Dammam,Eastern Region,330
Recoveries,2020-07-12,Wadi Ibn Hashbal,Aseer,3
Recoveries,2020-07-12,Numarah,Makkah Al Mukarramah,2
Recoveries,2020-07-12,Suwayr,Al Jawf,1
Recoveries,2020-07-12,Al Ghazalah,Hail,3
Recoveries,2020-07-12,Al Qunfudhah,Makkah Al Mukarramah,3
Recoveries,2020-07-12,Biljurashi,Al Bahah,1
Recoveries,2020-07-12,Tabarjal,Al Jawf,1
Recoveries,2020-07-12,As Sulayyil,Ar Riyad,8
Recoveries,2020-07-12,Al QuwayʻIyyah,Ar Riyad,1
Recoveries,2020-07-12,Tumayr,Ar Riyad,3
Recoveries,2020-07-12,Al Bukayriyyah,Al Qaseem,7
Recoveries,2020-07-12,Al Khafji,Eastern Region,10
Recoveries,2020-07-12,Ras Tannurah,Eastern Region,22
Recoveries,2020-07-13,Mawqaq,Hail,8
Recoveries,2020-07-13,At Tuwal,Jazan,5
Recoveries,2020-07-13,An Nabhaniyyah,Al Qaseem,17
Recoveries,2020-07-13,Hawtat Sudayr,Ar Riyad,4
Recoveries,2020-07-13,Buraydah,Al Qaseem,509
Recoveries,2020-07-13,Al Khubar,Eastern Region,349
Recoveries,2020-07-13,Al Hufuf,Eastern Region,121
Recoveries,2020-07-13,Ad Dilam,Ar Riyad,1
Recoveries,2020-07-13,Sarat ʻAbidah,Aseer,25
Recoveries,2020-07-13,Mulayjah,Eastern Region,12
Recoveries,2020-07-13,Al Badʻ,Tabuk,1
Recoveries,2020-07-13,Al Ghazalah,Hail,7
Recoveries,2020-07-13,Al Gouz,Makkah Al Mukarramah,3
Recoveries,2020-07-13,Ahad Al Musarihah,Jazan,13
Recoveries,2020-07-13,Sharurah,Najran,32
Recoveries,2020-07-13,D͟Hahran Al Janub,Aseer,39
Recoveries,2020-07-13,Al ʻAqiq,Al Bahah,3
Recoveries,2020-07-13,Hafar Al Batin,Eastern Region,92
Recoveries,2020-07-13,As Sulayyil,Ar Riyad,5
Recoveries,2020-07-13,Al Bukayriyyah,Al Qaseem,90
Recoveries,2020-07-13,Damad,Jazan,2
Recoveries,2020-07-13,Fayfa,Jazan,1
Recoveries,2020-07-13,Al Qara,Al Bahah,2
Recoveries,2020-07-13,Qaryat Al 'Ulya,Eastern Region,11
Recoveries,2020-07-13,Sajir,Ar Riyad,3
Recoveries,2020-07-13,Al Sehen,Makkah Al Mukarramah,7
Recoveries,2020-07-13,Al Mubarraz,Eastern Region,61
Recoveries,2020-07-13,Billasmar,Aseer,6
Recoveries,2020-07-13,Al Jafr,Eastern Region,11
Recoveries,2020-07-14,Khulays,Makkah Al Mukarramah,2
Recoveries,2020-07-14,Al Harajah,Aseer,12
Recoveries,2020-07-14,ʻUrayʻIrah,Eastern Region,6
Recoveries,2020-07-14,ʻUqlat As Suqur,Al Qaseem,1
Recoveries,2020-07-14,Al ʻIdabi,Jazan,24
Recoveries,2020-07-14,Hawtat Sudayr,Ar Riyad,5
Recoveries,2020-07-14,Najran,Najran,76
Recoveries,2020-07-14,Ar Riyad,Ar Riyad,239
Recoveries,2020-07-14,Ar Rass,Al Qaseem,29
Recoveries,2020-07-14,Mulayjah,Eastern Region,6
Recoveries,2020-07-14,Al Jubayl,Eastern Region,80
Recoveries,2020-07-14,Al Mandaq,Al Bahah,5
Recoveries,2020-07-14,Al Gouz,Makkah Al Mukarramah,3
Recoveries,2020-07-14,Safwá,Eastern Region,55
Recoveries,2020-07-14,Tathlith,Aseer,7
Recoveries,2020-07-14,Tabarjal,Al Jawf,1
Recoveries,2020-07-14,BaqʻAʼ,Hail,1
Recoveries,2020-07-14,An NuʻAyriyyah,Eastern Region,19
Recoveries,2020-07-14,Al Khafji,Eastern Region,20
Recoveries,2020-07-14,Qaryat Al 'Ulya,Eastern Region,3
Recoveries,2020-07-14,Ras Tannurah,Eastern Region,30
Recoveries,2020-07-14,Al Jafr,Eastern Region,8
Recoveries,2020-07-15,Khubash,Najran,2
Recoveries,2020-07-15,Al Harajah,Aseer,14
Recoveries,2020-07-15,Al ʻIdabi,Jazan,9
Recoveries,2020-07-15,Tabuk,Tabuk,51
Recoveries,2020-07-15,Sikaka,Al Jawf,16
Recoveries,2020-07-15,Buraydah,Al Qaseem,145
Recoveries,2020-07-15,Jazan,Jazan,11
Recoveries,2020-07-15,Bishah,Aseer,77
Recoveries,2020-07-15,Ar Rass,Al Qaseem,33
Recoveries,2020-07-15,Al Jubayl,Eastern Region,85
Recoveries,2020-07-15,Tabalah,Aseer,8
Recoveries,2020-07-15,Al Kamil,Makkah Al Mukarramah,1
Recoveries,2020-07-15,Hazm Al Jalamid,Northern Borders,2
Recoveries,2020-07-15,Dariyyah,Al Qaseem,4
Recoveries,2020-07-15,Al BadaʼIʻ,Al Qaseem,18
Recoveries,2020-07-15,Al ʻUyun,Eastern Region,6
Recoveries,2020-07-15,Hawtat Bani Tamim,Ar Riyad,9
Recoveries,2020-07-15,As Sulayyil,Ar Riyad,8
Recoveries,2020-07-15,Al Muzahimiyyah,Ar Riyad,2
Recoveries,2020-07-15,Shaqraʼ,Ar Riyad,13
Recoveries,2020-07-15,Al Midhnab,Al Qaseem,32
Recoveries,2020-07-15,An NuʻAyriyyah,Eastern Region,20
Recoveries,2020-07-15,Fayfa,Jazan,1
Recoveries,2020-07-15,Al Kharj,Ar Riyad,14
Recoveries,2020-07-15,Al Qari',Makkah Al Mukarramah,1
Recoveries,2020-07-15,Al Hada,Makkah Al Mukarramah,1
Recoveries,2020-07-16,Al Asyah,Al Qaseem,4
Recoveries,2020-07-16,Khubash,Najran,3
Recoveries,2020-07-16,Rafa'I' Al Jamsh,Ar Riyad,9
Recoveries,2020-07-16,An Nabhaniyyah,Al Qaseem,3
Recoveries,2020-07-16,Ahad Rifaydah,Aseer,36
Recoveries,2020-07-16,Al ʻAridah,Jazan,1
Recoveries,2020-07-16,Ad Darb,Jazan,5
Recoveries,2020-07-16,Najran,Najran,61
Recoveries,2020-07-16,Al MajmaʻAh,Ar Riyad,5
Recoveries,2020-07-16,Ad Dammam,Eastern Region,220
Recoveries,2020-07-16,Al Khubar,Eastern Region,69
Recoveries,2020-07-16,Hubuna,Najran,3
Recoveries,2020-07-16,Al Jubayl,Eastern Region,16
Recoveries,2020-07-16,Buqayq,Eastern Region,4
Recoveries,2020-07-16,Mahayil,Aseer,81
Recoveries,2020-07-16,Numarah,Makkah Al Mukarramah,1
Recoveries,2020-07-16,Sabt Al ʻAlayah,Aseer,8
Recoveries,2020-07-16,Al Mandaq,Al Bahah,6
Recoveries,2020-07-16,Qiya,Makkah Al Mukarramah,13
Recoveries,2020-07-16,Al Khurmah,Makkah Al Mukarramah,1
Recoveries,2020-07-16,Al Badʻ,Tabuk,1
Recoveries,2020-07-16,Al Ghazalah,Hail,1
Recoveries,2020-07-16,Al Bijadiyyah,Ar Riyad,1
Recoveries,2020-07-16,Al Gouz,Makkah Al Mukarramah,2
Recoveries,2020-07-16,Al Majardah,Aseer,1
Recoveries,2020-07-16,Baysh,Jazan,41
Recoveries,2020-07-16,Tathlith,Aseer,2
Recoveries,2020-07-16,Rafha,Northern Borders,10
Recoveries,2020-07-16,As Sulayyil,Ar Riyad,4
Recoveries,2020-07-16,Al QuwayʻIyyah,Ar Riyad,5
Recoveries,2020-07-16,Al Khafji,Eastern Region,4
Recoveries,2020-07-16,Rijal Al Ma,Aseer,14
Recoveries,2020-07-16,Wuthaylan,Ar Riyad,4
Recoveries,2020-07-16,Al Sehen,Makkah Al Mukarramah,11
Recoveries,2020-07-16,Billasmar,Aseer,8
Recoveries,2020-07-17,Al Sho'Bah,Northern Borders,4
Recoveries,2020-07-17,Khulays,Makkah Al Mukarramah,2
Recoveries,2020-07-17,Rafa'I' Al Jamsh,Ar Riyad,11
Recoveries,2020-07-17,Al Harajah,Aseer,2
Recoveries,2020-07-17,ʻUrayʻIrah,Eastern Region,2
Recoveries,2020-07-17,Bariq,Aseer,4
Recoveries,2020-07-17,Al Madinah Al Munawwarah,Al Madinah Al Munawwarah,135
Recoveries,2020-07-17,Al Hufuf,Eastern Region,226
Recoveries,2020-07-17,Wadi Ibn Hashbal,Aseer,23
Recoveries,2020-07-17,Bishah,Aseer,5
Recoveries,2020-07-17,Yanbuʻ,Al Madinah Al Munawwarah,62
Recoveries,2020-07-17,Az Zulfi,Ar Riyad,2
Recoveries,2020-07-17,Ar Rass,Al Qaseem,19
Recoveries,2020-07-17,Al Qatif,Eastern Region,258
Recoveries,2020-07-17,Suwayr,Al Jawf,1
Recoveries,2020-07-17,Al Ghazalah,Hail,4
Recoveries,2020-07-17,Dariyyah,Al Qaseem,3
Recoveries,2020-07-17,Qusaybaʼ,Al Qaseem,2
Recoveries,2020-07-17,Al BadaʼIʻ,Al Qaseem,2
Recoveries,2020-07-17,Al ʻUyun,Eastern Region,7
Recoveries,2020-07-17,Duruma,Ar Riyad,7
Recoveries,2020-07-17,Huraymilaʼ,Ar Riyad,5
Recoveries,2020-07-17,Al Majardah,Aseer,4
Recoveries,2020-07-17,Baysh,Jazan,1
Recoveries,2020-07-17,Al Wajh,Tabuk,1
Recoveries,2020-07-17,Salwá,Eastern Region,2
Recoveries,2020-07-17,Rijal Al Ma,Aseer,20
Recoveries,2020-07-17,As Sufairy,Eastern Region,1
Recoveries,2020-07-17,Billasmar,Aseer,12
Recoveries,2020-07-18,Al Asyah,Al Qaseem,3
Recoveries,2020-07-18,Bathaʼ,Eastern Region,15
Recoveries,2020-07-18,Tanumah,Aseer,11
Recoveries,2020-07-18,Ad Darb,Jazan,2
Recoveries,2020-07-18,Tabuk,Tabuk,43
Recoveries,2020-07-18,Makkah Al Mukarramah,Makkah Al Mukarramah,85
Recoveries,2020-07-18,Al Hufuf,Eastern Region,203
Recoveries,2020-07-18,Hubuna,Najran,4
Recoveries,2020-07-18,Ad Dilam,Ar Riyad,1
Recoveries,2020-07-18,Bishah,Aseer,46
Recoveries,2020-07-18,Al Qatif,Eastern Region,211
Recoveries,2020-07-18,Ad͟H D͟Hahran,Eastern Region,102
Recoveries,2020-07-18,Numarah,Makkah Al Mukarramah,1
Recoveries,2020-07-18,Ranyah,Makkah Al Mukarramah,2
Recoveries,2020-07-18,Al Qaysumah,Eastern Region,8
Recoveries,2020-07-18,Al ʻUyun,Eastern Region,6
Recoveries,2020-07-18,Umlujj,Tabuk,1
Recoveries,2020-07-18,Tabarjal,Al Jawf,1
Recoveries,2020-07-18,Al Muzahimiyyah,Ar Riyad,4
Recoveries,2020-07-18,Al Midhnab,Al Qaseem,8
Recoveries,2020-07-18,An NuʻAyriyyah,Eastern Region,19
Recoveries,2020-07-18,Salwá,Eastern Region,4
Recoveries,2020-07-18,Al Qara,Al Bahah,4
Recoveries,2020-07-18,Al Hamnah,Al Madinah Al Munawwarah,1
Recoveries,2020-07-18,Al Sehen,Makkah Al Mukarramah,2
Recoveries,2020-07-18,Al Mubarraz,Eastern Region,147
Recoveries,2020-07-19,Mawqaq,Hail,2
Recoveries,2020-07-19,Al Khasirah,Ar Riyad,1
Recoveries,2020-07-19,Sikaka,Al Jawf,6
Recoveries,2020-07-19,ʻArʻAr,Northern Borders,20
Recoveries,2020-07-19,Al Madinah Al Munawwarah,Al Madinah Al Munawwarah,73
Recoveries,2020-07-19,Jazan,Jazan,41
Recoveries,2020-07-19,ʻAfif,Ar Riyad,2
Recoveries,2020-07-19,Ad Dammam,Eastern Region,292
Recoveries,2020-07-19,Jeddah,Makkah Al Mukarramah,317
Recoveries,2020-07-19,Ad Duwadimi,Ar Riyad,13
Recoveries,2020-07-19,Rabigh,Makkah Al Mukarramah,2
Recoveries,2020-07-19,Sarat ʻAbidah,Aseer,72
Recoveries,2020-07-19,Ar Rass,Al Qaseem,9
Recoveries,2020-07-19,Buqayq,Eastern Region,30
Recoveries,2020-07-19,Ranyah,Makkah Al Mukarramah,6
Recoveries,2020-07-19,Al Kamil,Makkah Al Mukarramah,2
Recoveries,2020-07-19,Al Qurayyat,Al Jawf,5
Recoveries,2020-07-19,Al Muwayh,Makkah Al Mukarramah,7
Recoveries,2020-07-19,Thadiq,Ar Riyad,1
Recoveries,2020-07-19,Al Qunfudhah,Makkah Al Mukarramah,2
Recoveries,2020-07-19,Turuba,Makkah Al Mukarramah,6
Recoveries,2020-07-19,Al Muzahimiyyah,Ar Riyad,12
Recoveries,2020-07-19,Al Hadithah Border Station,Al Jawf,1
Recoveries,2020-07-19,Ad DirʻIyyah,Ar Riyad,44
Recoveries,2020-07-19,Wadi Ad Dawasir,Ar Riyad,32
Recoveries,2020-07-19,Thurayban,Makkah Al Mukarramah,1
Recoveries,2020-07-19,Al Mubarraz,Eastern Region,147
Recoveries,2020-07-19,Al Bashayer,Aseer,3
Recoveries,2020-07-20,Badr Al Janub,Najran,1
Recoveries,2020-07-20,Ar Rayn,Ar Riyad,4
Recoveries,2020-07-20,An Nabhaniyyah,Al Qaseem,1
Recoveries,2020-07-20,Al Birk,Aseer,1
Recoveries,2020-07-20,Jazan,Jazan,35
Recoveries,2020-07-20,Najran,Najran,58
Recoveries,2020-07-20,Al Mahani,Makkah Al Mukarramah,1
Recoveries,2020-07-20,Sarat ʻAbidah,Aseer,7
Recoveries,2020-07-20,Az Zulfi,Ar Riyad,5
Recoveries,2020-07-20,Al Qahmah,Aseer,2
Recoveries,2020-07-20,Mahayil,Aseer,3
Recoveries,2020-07-20,Numarah,Makkah Al Mukarramah,3
Recoveries,2020-07-20,Ranyah,Makkah Al Mukarramah,2
Recoveries,2020-07-20,Al HaʼIt,Hail,3
Recoveries,2020-07-20,ʻUyun Al Jiwaʼ,Al Qaseem,10
Recoveries,2020-07-20,Al Hinakiyyah,Al Madinah Al Munawwarah,1
Recoveries,2020-07-20,Mihd  Adh Dhahab,Al Madinah Al Munawwarah,2
Recoveries,2020-07-20,Al Muwayh,Makkah Al Mukarramah,6
Recoveries,2020-07-20,Thadiq,Ar Riyad,3
Recoveries,2020-07-20,Huraymilaʼ,Ar Riyad,5
Recoveries,2020-07-20,Hawtat Bani Tamim,Ar Riyad,14
Recoveries,2020-07-20,Al ʻUwayqilah,Northern Borders,2
Recoveries,2020-07-20,Khaybar,Al Madinah Al Munawwarah,1
Recoveries,2020-07-20,Al Qunfudhah,Makkah Al Mukarramah,4
Recoveries,2020-07-20,Al ʻUla,Al Madinah Al Munawwarah,2
Recoveries,2020-07-20,Tumayr,Ar Riyad,3
Recoveries,2020-07-20,Al Midhnab,Al Qaseem,3
Recoveries,2020-07-20,Al Kharj,Ar Riyad,43
Recoveries,2020-07-20,Rijal Al Ma,Aseer,4
Recoveries,2020-07-20,Maysan,Makkah Al Mukarramah,1
Recoveries,2020-07-20,Thurayban,Makkah Al Mukarramah,2
Recoveries,2020-07-20,Al Jafr,Eastern Region,12
Recoveries,2020-07-21,Al Harajah,Aseer,16
Recoveries,2020-07-21,Buraydah,Al Qaseem,3
Recoveries,2020-07-21,Jazan,Jazan,30
Recoveries,2020-07-21,ʻAfif,Ar Riyad,1
Recoveries,2020-07-21,Ad Dammam,Eastern Region,380
Recoveries,2020-07-21,Turayf,Northern Borders,20
Recoveries,2020-07-21,Mulayjah,Eastern Region,3
Recoveries,2020-07-21,Tabalah,Aseer,8
Recoveries,2020-07-21,Safwá,Eastern Region,54
Recoveries,2020-07-21,Qilwah,Al Bahah,3
Recoveries,2020-07-21,Biljurashi,Al Bahah,7
